level	name	condition	replacewith	notes
Scientific_Name	Metachroma aeneicolle	unmatched	Metachroma longicolle	
Scientific_Name	Crepidodera helxines	unmatched	Crepidodera helxines	Genus = Crepidodera & Family = Chrysomelidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Thecesternus humeralis?	unmatched	Thecesternus humeralis	
Scientific_Name	Sitona flavescens	unmatched	Sitona lepidus	
Scientific_Name	Apion metallicum	unmatched	Apion metallicum	Genus = Apion & Family = Brentidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Phytonomus posticus	unmatched	Hypera postica	
Scientific_Name	Conotrachelus nenuphar?	unmatched	Conotrachelus nenuphar	
Scientific_Name	Cryptorhynchus bisignatus	unmatched	Eubulus bisignatus	
Scientific_Name	Hypocoeliodes wickhami?	unmatched	Hypocoeliodes wickhami	
Scientific_Name	Coeliodes acephalus	unmatched	Acanthoscelidius acephalus	
Scientific_Name	Limnobaris blandita	unmatched	Limnobaris blandita	Genus = Limnobaris & Family = Curculionidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Rhinoncus longulus	unmatched	Campylirhynchus longulus	
Scientific_Name	Centrinus picumnus	unmatched	Centrinus picumnus	Genus = Centrinus & Family = Curculionidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Calandra oryza	unmatched	Sitophilus oryzae	
Scientific_Name	Pityophthorus minutissimus	wrong rank; too high	Pseudopityophthorus minutissimus	
Scientific_Name	Tomicus calligraphicus	unmatched	Ips calligraphus	
Scientific_Name	Brachytarsus plumbeus	unmatched	Brachytarsus plumbeus	Genus = Brachytarsus & Family = Anthribidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Stictocephala festiva	unmatched	Stictocephala festiva	Genus = Stictocephala & Family = Membracidae & Order = Hemiptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Agallia 4-punctata	unmatched	Agallia quadripunctata	
Scientific_Name	Nezara hilaris	unmatched	Acrosternum hilare	
Scientific_Name	Elaphrus ruscarius?	unmatched	Elaphrus ruscarius	
Scientific_Name	Poecilus lucublandus?	unmatched	Poecilus lucublandus	
Scientific_Name	Poecilus scitulus?	unmatched	Poecilus scitulus	
Scientific_Name	Anisodactylus baltimorensis	unmatched	Anisodactylus sanctaecrucis	
Scientific_Name	Tropisternus limbalis	unmatched	Tropisternus lateralis	
Scientific_Name	Philhydrus hamiltoni	unmatched	Enochrus hamiltoni	
Scientific_Name	Philonthus varians	unmatched	Philonthus varians	Genus = Philonthus & Family = Staphylinidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Philonthus lomatus	unmatched	Philonthus lomatus	Genus = Philonthus & Family = Staphylinidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Tachyporus californicus	unmatched	Tachyporus californicus	Genus = Tachyporus & Family = Staphylinidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	ColeoColeomegilla maculata	unmatched	Coleomegilla maculata	
Scientific_Name	Hippodamia ambigua	unmatched	Hippodamia quinquesignata	
Scientific_Name	Hippodamia 15-maculata	unmatched	Hippodamia quinquesignata	
Scientific_Name	Hippodamia 13-punctata	unmatched	Hippodamia quinquesignata	
Scientific_Name	Cycloneda californica	unmatched	Coccinella californica	
Scientific_Name	Scymnus?collaris	unmatched	Scymnus collaris	
Scientific_Name	Scymnus partibus	unmatched	Scymnus partibus	Genus = Scymnus & Family = Coccinellidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Dermestes mannerheimii	unmatched	Dermestes talpinus	
Scientific_Name	Hister?sellatus	unmatched	Hister sellatus	
Scientific_Name	Hister interruptus	unmatched	Saprinus perinterruptus	
Scientific_Name	Hister americanus	unmatched	Atholus americanus	
Scientific_Name	Pachylophus aeneipunctatus	unmatched	Pachylophus aeneipunctatus	Genus = Pachylophus & Family = Chloropidae & Order = Diptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Melanophthalmus gibbosus	unmatched	Melanophthalmus gibbosus	Genus = Melanophthalmus & Family = Latridiidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Dryops striata	unmatched	Dryops striata	Genus = Dryops & Family = Dryopidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Otophorus vittatus	unmatched	Phaeaphodius rectus	
Scientific_Name	Typophorus nigritus?	unmatched	Typophorus nigritus	
Scientific_Name	Typophorus sellatus	unmatched	Typophorus sellatus	Genus = Typophorus & Family = Chrysomelidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Plagiodera prasinella	unmatched	Plagiodera prasinella	Genus = Plagiodera & Family = Chrysomelidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Gastrophysa viridula	unmatched	Gastrophysa viridula	Genus = Gastrophysa & Family = Chrysomelidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Lina scripta	unmatched	Chrysomela scripta	
Scientific_Name	Diabrotica 12-punctata	unmatched	Diabrotica undecimpunctata	
Scientific_Name	Diabrotica soror	unmatched	Diabrotica soror	Genus = Diabrotica & Family = Chrysomelidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Epitrix parvula	unmatched	Epitrix hirtipennis	
Scientific_Name	Psylliodes punctulata	unmatched	Psylliodes punctulata	Genus = Psylliodes & Family = Chrysomelidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Apion vespertinum	unmatched	Apion vespertinum	Genus = Apion & Family = Brentidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Apion cavifrons	unmatched	Apion cavifrons	Genus = Apion & Family = Brentidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Sphenophorus placidus	unmatched	Sphenophorus venatus	
Scientific_Name	Tomicus pini	unmatched	Tomicus piniperda	
Scientific_Name	Brachytarsus variegatus	unmatched	Brachytarsus variegatus	Genus = Brachytarsus & Family = Anthribidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Apis mellifera?	unmatched	Apis mellifera	
Scientific_Name	Oncometopia orbona	unmatched	Oncometopia orbona	Genus = Oncometopia & Family = Cicadellidae & Order = Hemiptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Olophrum obtectum	unmatched	Olophrum obtectum	Genus = Olophrum & Family = Staphylinidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Saprinus rotundatus	unmatched	Saprinus rotundatus	Genus = Saprinus & Family = Histeridae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Aphodius inquinatus	unmatched	Calamosternus granarius	
Scientific_Name	Cerotoma caminea	unmatched	Cerotoma caminea	Genus = Cerotoma & Family = Chrysomelidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Galerucella sagittaria	unmatched	Galerucella sagittaria	Genus = Galerucella & Family = Chrysomelidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Crepidodera velutinus	unmatched	Crepidodera velutinus	Genus = Crepidodera & Family = Chrysomelidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Rhipiphorus dimidiatus	unmatched	Rhipiphorus dimidiatus	Genus = Rhipiphorus & Family = Rhipiphoridae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Orchestes vittata	unmatched	Orchestes vittata	Genus = Orchestes & Family = Curculionidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Tomicus calligraphus	unmatched	Tomicus calligraphus	Genus = Tomicus & Family = Curculionidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Tomicus cacographus	unmatched	Tomicus cacographus	Genus = Tomicus & Family = Curculionidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Solubea pugnax	unmatched	Oebalus pugnax	
Scientific_Name	Podisus subspinosus	unmatched	Podisus subspinosus	Genus = Podisus & Family = Pentatomidae & Order = Hemiptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Rhantus bistriatus?	unmatched	Rhantus bistriatus	
Scientific_Name	Creophilus villosus	unmatched	Creophilus maxillosus	
Scientific_Name	Cercyon ocellatus	unmatched	Cercyon ocellatus	Genus = Cercyon & Family = Hydrophilidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Tenebroides viridescens	unmatched	Tenebroides viridescens	Genus = Tenebroides & Family = Trogossitidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Typophorus vitallis	unmatched	Typophorus vitallis	Genus = Typophorus & Family = Chrysomelidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Xyleborus impressus	unmatched	Xyleborus impressus	Genus = Xyleborus & Family = Curculionidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Chramesus icoriae	unmatched	Chramesus hicoriae	
Scientific_Name	Tiphia inornata	unmatched	Tiphia inornata	Genus = Tiphia & Family = Tiphiidae & Order = Hymenoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Ichneumon irritator	unmatched	Dolichomitus irritator	Genus = Dolichomitus & Family = Ichneumonidae & Order = Hymenoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no
Scientific_Name	Juniperus virginiana?	unmatched	Juniperus virginiana	
Scientific_Name	Platynus variolatus	unmatched	Agonum limbatum	
Scientific_Name	Casnonia pennsylvanica	unmatched		"Genus = """" & Family = Carabidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia"
Scientific_Name	Cnemidotus 12-punctatus	unmatched		"Genus = """" & Family = Haliplidae & Suborder = Adephaga & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Prey_Name_Status = accepted"""
