TAXON_ORDER,CATEGORY,SPECIES_CODE,TAXON_CONCEPT_ID,PRIMARY_COM_NAME,SCI_NAME,ORDER,FAMILY,SPECIES_GROUP,REPORT_AS
19442,species,slbori1,,Slender-billed Oriole,Oriolus tenuirostris,Passeriformes,Oriolidae (Old World Orioles),Old World Orioles,
19445,species,grhori1,,Green-headed Oriole,Oriolus chlorocephalus,Passeriformes,Oriolidae (Old World Orioles),Old World Orioles,
19446,issf,gnhori1,,Green-headed Oriole (Green-headed),Oriolus chlorocephalus chlorocephalus/amani,Passeriformes,Oriolidae (Old World Orioles),Old World Orioles,grhori1
19449,issf,gnhori2,,Green-headed Oriole (Gorongosa),Oriolus chlorocephalus speculifer,Passeriformes,Oriolidae (Old World Orioles),Old World Orioles,grhori1
19450,species,satori1,,Sao Tome Oriole,Oriolus crassirostris,Passeriformes,Oriolidae (Old World Orioles),Old World Orioles,
19451,species,wbhori1,,Western Black-headed Oriole,Oriolus brachyrynchus,Passeriformes,Oriolidae (Old World Orioles),Old World Orioles,
19454,species,dahori1,,Ethiopian Black-headed Oriole,Oriolus monacha,Passeriformes,Oriolidae (Old World Orioles),Old World Orioles,
19457,species,abhori1,,African Black-headed Oriole,Oriolus larvatus,Passeriformes,Oriolidae (Old World Orioles),Old World Orioles,
19464,species,bltori1,,Black-tailed Oriole,Oriolus percivali,Passeriformes,Oriolidae (Old World Orioles),Old World Orioles,
19465,species,blwori1,,Black-winged Oriole,Oriolus nigripennis,Passeriformes,Oriolidae (Old World Orioles),Old World Orioles,
19466,species,blhori1,,Black-hooded Oriole,Oriolus xanthornus,Passeriformes,Oriolidae (Old World Orioles),Old World Orioles,
19472,species,blaori1,,Black Oriole,Oriolus hosii,Passeriformes,Oriolidae (Old World Orioles),Old World Orioles,
19473,species,bacori1,,Black-and-crimson Oriole,Oriolus consanguineus,Passeriformes,Oriolidae (Old World Orioles),Old World Orioles,
19477,species,bacori3,,Javan Oriole,Oriolus cruentus,Passeriformes,Oriolidae (Old World Orioles),Old World Orioles,
19478,species,marori2,,Maroon Oriole,Oriolus traillii,Passeriformes,Oriolidae (Old World Orioles),Old World Orioles,
19479,issf,marori7,,Maroon Oriole (Maroon),Oriolus traillii traillii/robinsoni,Passeriformes,Oriolidae (Old World Orioles),Old World Orioles,marori2
19482,issf,marori8,,Maroon Oriole (Crimson),Oriolus traillii ardens/nigellicauda,Passeriformes,Oriolidae (Old World Orioles),Old World Orioles,marori2
19485,species,silori1,,Silver Oriole,Oriolus mellianus,Passeriformes,Oriolidae (Old World Orioles),Old World Orioles,
19486,spuh,oriolu1,,old world oriole sp.,Oriolus sp.,Passeriformes,Oriolidae (Old World Orioles),Old World Orioles,
19487,species,wetfig1,,Wetar Figbird,Sphecotheres hypoleucus,Passeriformes,Oriolidae (Old World Orioles),Old World Orioles,
19488,species,grnfig1,,Green Figbird,Sphecotheres viridis,Passeriformes,Oriolidae (Old World Orioles),Old World Orioles,
19489,species,ausfig1,,Australasian Figbird,Sphecotheres vieilloti,Passeriformes,Oriolidae (Old World Orioles),Old World Orioles,
19490,issf,ausfig7,,Australasian Figbird (flaviventris Group),Sphecotheres vieilloti [flaviventris Group],Passeriformes,Oriolidae (Old World Orioles),Old World Orioles,ausfig1
19494,issf,ausfig3,,Australasian Figbird (salvadorii),Sphecotheres vieilloti salvadorii,Passeriformes,Oriolidae (Old World Orioles),Old World Orioles,ausfig1
19495,issf,ausfig6,,Australasian Figbird (vieilloti),Sphecotheres vieilloti vieilloti,Passeriformes,Oriolidae (Old World Orioles),Old World Orioles,ausfig1
19496,species,noipio1,,North Island Piopio,Turnagra tanagra,Passeriformes,Oriolidae (Old World Orioles),Old World Orioles,
19497,species,soipio1,,South Island Piopio,Turnagra capensis,Passeriformes,Oriolidae (Old World Orioles),Old World Orioles,
19501,species,blbboa1,,Black-breasted Boatbill,Machaerirhynchus nigripectus,Passeriformes,Machaerirhynchidae (Boatbills),Boatbills,
19505,species,yebboa1,,Yellow-breasted Boatbill,Machaerirhynchus flaviventer,Passeriformes,Machaerirhynchidae (Boatbills),Boatbills,
19513,species,ashwoo2,,Ashy Woodswallow,Artamus fuscus,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Woodswallows,
19514,species,fijwoo1,,Fiji Woodswallow,Artamus mentalis,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Woodswallows,
19515,species,whbwoo8,,Ivory-backed Woodswallow,Artamus monachus,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Woodswallows,
19516,species,grewoo1,,Great Woodswallow,Artamus maximus,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Woodswallows,
19517,species,whbwoo4,,White-breasted Woodswallow,Artamus leucorynchus,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Woodswallows,
19527,species,biswoo1,,Bismarck Woodswallow,Artamus insignis,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Woodswallows,
19528,species,maswoo1,,Masked Woodswallow,Artamus personatus,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Woodswallows,
19529,species,whbwoo5,,White-browed Woodswallow,Artamus superciliosus,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Woodswallows,
19530,hybrid,x00962,,Masked x White-browed Woodswallow (hybrid),Artamus personatus x superciliosus,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Woodswallows,
19531,slash,y01039,,Masked/White-browed Woodswallow,Artamus personatus/superciliosus,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Woodswallows,
19532,species,blfwoo1,,Black-faced Woodswallow,Artamus cinereus,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Woodswallows,
19533,issf,bkfwoo1,,Black-faced Woodswallow (White-vented),Artamus cinereus normani/inkermani,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Woodswallows,blfwoo1
19536,issf,bkfwoo2,,Black-faced Woodswallow (Black-vented),Artamus cinereus [cinereus Group],Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Woodswallows,blfwoo1
19540,species,duswoo1,,Dusky Woodswallow,Artamus cyanopterus,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Woodswallows,
19543,species,litwoo4,,Little Woodswallow,Artamus minor,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Woodswallows,
19546,spuh,woodsw1,,woodswallow sp.,Artamus sp.,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Woodswallows,
19547,species,moupel1,,Mountain Peltops,Peltops montanus,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Bellmagpies and Allies,
19548,species,lowpel1,,Lowland Peltops,Peltops blainvillii,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Bellmagpies and Allies,
19549,species,blbbut1,,Black-backed Butcherbird,Cracticus mentalis,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Bellmagpies and Allies,
19552,species,grybut1,,Gray Butcherbird,Cracticus torquatus,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Bellmagpies and Allies,
19556,species,sibbut1,,Silver-backed Butcherbird,Cracticus argenteus,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Bellmagpies and Allies,
19559,species,hoobut1,,Hooded Butcherbird,Cracticus cassicus,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Bellmagpies and Allies,
19562,species,tagbut1,,Tagula Butcherbird,Cracticus louisiadensis,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Bellmagpies and Allies,
19563,species,piebut1,,Pied Butcherbird,Cracticus nigrogularis,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Bellmagpies and Allies,
19566,species,blabut1,,Black Butcherbird,Melloria quoyi,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Bellmagpies and Allies,
19572,species,ausmag2,,Australian Magpie,Gymnorhina tibicen,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Bellmagpies and Allies,
19573,issf,ausmag1,,Australian Magpie (Papuan),Gymnorhina tibicen papuana,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Bellmagpies and Allies,ausmag2
19574,issf,ausmag3,,Australian Magpie (Black-backed),Gymnorhina tibicen [tibicen Group],Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Bellmagpies and Allies,ausmag2
19579,issf,ausmag6,,Australian Magpie (Western),Gymnorhina tibicen dorsalis,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Bellmagpies and Allies,ausmag2
19580,intergrade,ausmag4,,Australian Magpie (Black-backed x Western),Gymnorhina tibicen [tibicen Group] x dorsalis,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Bellmagpies and Allies,ausmag2
19581,issf,ausmag7,,Australian Magpie (White-backed),Gymnorhina tibicen telonocua/tyrannica,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Bellmagpies and Allies,ausmag2
19584,intergrade,ausmag5,,Australian Magpie (Black-backed x White-backed),Gymnorhina tibicen [tibicen Group] x telonocua/tyrannica,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Bellmagpies and Allies,ausmag2
19585,issf,ausmag8,,Australian Magpie (Tasmanian),Gymnorhina tibicen hypoleuca,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Bellmagpies and Allies,ausmag2
19586,species,piecur1,,Pied Currawong,Strepera graculina,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Bellmagpies and Allies,
19593,species,blacur2,,Black Currawong,Strepera fuliginosa,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Bellmagpies and Allies,
19597,species,grycur1,,Gray Currawong,Strepera versicolor,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Bellmagpies and Allies,
19598,issf,grycur2,,Gray Currawong (Gray),Strepera versicolor versicolor/plumbea,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Bellmagpies and Allies,grycur1
19601,issf,grycur3,,Gray Currawong (Clinking),Strepera versicolor arguta,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Bellmagpies and Allies,grycur1
19602,issf,grycur4,,Gray Currawong (Black-winged),Strepera versicolor melanoptera,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Bellmagpies and Allies,grycur1
19603,issf,grycur5,,Gray Currawong (Brown),Strepera versicolor intermedia,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Bellmagpies and Allies,grycur1
19604,issf,grycur6,,Gray Currawong (Kangaroo I.),Strepera versicolor halmaturina,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Bellmagpies and Allies,grycur1
19605,spuh,curraw1,,currawong sp.,Strepera sp.,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Bellmagpies and Allies,
19607,species,motwhi1,,Mottled Berryhunter,Rhagologus leucostigma,Passeriformes,Rhagologidae (Mottled Berryhunter),Mottled Berryhunter,
19612,species,whtshr1,,White-tailed Shrike,Lanioturdus torquatus,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,
19613,species,chweye1,,Chestnut Wattle-eye,Dyaphorophyia castanea,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,
19614,species,weawae1,,West African Wattle-eye,Dyaphorophyia hormophora,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,
19615,species,wsweye1,,White-spotted Wattle-eye,Dyaphorophyia tonsa,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,
19616,species,btweye2,,Brown-throated Wattle-eye,Platysteira cyanea,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,
19620,species,wfweye1,,White-fronted Wattle-eye,Platysteira albifrons,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,
19621,species,btweye1,,Black-throated Wattle-eye,Platysteira peltata,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,
19625,species,baweye1,,Banded Wattle-eye,Platysteira laticincta,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,
19626,species,rcweye1,,Red-cheeked Wattle-eye,Platysteira blissetti,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,
19627,species,bnweye1,,Black-necked Wattle-eye,Platysteira chalybea,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,
19628,species,jaweye1,,Jameson's Wattle-eye,Platysteira jamesoni,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,
19629,species,ybweye1,,Yellow-bellied Wattle-eye,Platysteira concreta,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,
19630,issf,yebwae1,,Yellow-bellied Wattle-eye (West African),Platysteira concreta concreta,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,ybweye1
19631,issf,yebwae2,,Yellow-bellied Wattle-eye (Angola),Platysteira concreta ansorgei,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,ybweye1
19632,issf,yebwae3,,Yellow-bellied Wattle-eye (Central African),Platysteira concreta graueri,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,ybweye1
19633,issf,yebwae4,,Yellow-bellied Wattle-eye (Kungwe),Platysteira concreta kungwensis,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,ybweye1
19634,spuh,wattle2,,wattle-eye sp.,Platysteira sp.,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,
19635,species,boubat1,,Boulton's Batis,Batis margaritae,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,
19636,issf,boubat2,,Boulton's Batis (Angola),Batis margaritae margaritae,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,boubat1
19637,issf,boubat3,,Boulton's Batis (Eastern),Batis margaritae kathleenae,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,boubat1
19638,species,shtbat1,,Short-tailed Batis,Batis mixta,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,
19639,issf,shtbat2,,Short-tailed Batis (Short-tailed),Batis mixta mixta,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,shtbat1
19640,issf,shtbat3,,Short-tailed Batis (Reichenow's),Batis mixta reichenowi,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,shtbat1
19641,species,darbat1,,Dark Batis,Batis crypta,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,
19642,species,ruwbat1,,Rwenzori Batis,Batis diops,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,
19643,species,capbat10,,Cape Batis,Batis capensis,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,
19644,issf,capbat3,,Cape Batis (Gray-mantled),Batis capensis [erythrophthalma Group],Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,capbat10
19648,issf,capbat4,,Cape Batis (Cape),Batis capensis capensis,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,capbat10
19649,species,capbat2,,Malawi Batis,Batis dimorpha,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,
19652,slash,capbat1,,Cape/Malawi Batis,Batis capensis/dimorpha,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,
19653,species,woobat1,,Woodwards' Batis,Batis fratrum,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,
19654,species,chibat1,,Chinspot Batis,Batis molitor,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,
19659,species,palbat1,,Pale Batis,Batis soror,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,
19660,species,pribat1,,Pririt Batis,Batis pririt,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,
19663,species,senbat1,,Senegal Batis,Batis senegalensis,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,
19664,species,gyhbat1,,Gray-headed Batis,Batis orientalis,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,
19669,species,bkhbat1,,Western Black-headed Batis,Batis erlangeri,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,
19672,species,bkhbat2,,Eastern Black-headed Batis,Batis minor,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,
19675,slash,blhbat1,,Western/Eastern Black-headed Batis,Batis erlangeri/minor,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,
19676,species,pygbat1,,Pygmy Batis,Batis perkeo,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,
19677,species,verbat1,,Verreaux's Batis,Batis minima,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,
19678,species,itubat1,,Ituri Batis,Batis ituriensis,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,
19679,species,fepbat1,,Bioko Batis,Batis poensis,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,
19680,species,weabat1,,West African Batis,Batis occulta,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,
19681,species,angbat1,,Angola Batis,Batis minulla,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,
19682,spuh,batis1,,batis sp.,Batis sp.,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,
19684,species,whihel1,,White-crested Helmetshrike,Prionops plumatus,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
19685,issf,whihel2,,White-crested Helmetshrike (Long-crested),Prionops plumatus plumatus,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",whihel1
19686,issf,whihel3,,White-crested Helmetshrike (Yellow-eyed),Prionops plumatus [poliocephalus Group],Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",whihel1
19691,species,gychel1,,Gray-crested Helmetshrike,Prionops poliolophus,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
19692,species,yechel1,,Yellow-crested Helmetshrike,Prionops alberti,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
19693,species,chbhel1,,Red-billed Helmetshrike,Prionops caniceps,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
19694,issf,rebhel1,,Red-billed Helmetshrike (Red-billed),Prionops caniceps caniceps,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",chbhel1
19695,issf,rebhel2,,Red-billed Helmetshrike (Gray-cheeked),Prionops caniceps harterti,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",chbhel1
19696,species,rubhel1,,Rufous-bellied Helmetshrike,Prionops rufiventris,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
19699,species,rethel1,,Retz's Helmetshrike,Prionops retzii,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
19704,species,anghel1,,Angola Helmetshrike,Prionops gabela,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
19705,species,chfhel1,,Chestnut-fronted Helmetshrike,Prionops scopifrons,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
19709,species,afrshf1,,African Shrike-flycatcher,Megabyas flammulatus,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
19712,species,bawfly1,,Black-and-white Shrike-flycatcher,Bias musicus,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
19716,species,malwoo1,,Malabar Woodshrike,Tephrodornis sylvicola,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
19717,species,larwoo1,,Large Woodshrike,Tephrodornis virgatus,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
19728,species,comwoo1,,Common Woodshrike,Tephrodornis pondicerianus,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
19732,slash,y01096,,Malabar/Common Woodshrike,Tephrodornis sylvicola/pondicerianus,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
19733,slash,y00663,,Large/Common Woodshrike,Tephrodornis virgatus/pondicerianus,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
19734,species,srlwoo1,,Sri Lanka Woodshrike,Tephrodornis affinis,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
19735,species,bwfshr1,,Bar-winged Flycatcher-shrike,Hemipus picatus,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
19740,species,bwfshr2,,Black-winged Flycatcher-shrike,Hemipus hirundinaceus,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
19741,species,ruwphi2,,Rufous-winged Philentoma,Philentoma pyrhoptera,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
19744,species,mabphi2,,Maroon-breasted Philentoma,Philentoma velata,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
19747,slash,y00889,,Rufous-winged/Maroon-breasted Philentoma,Philentoma pyrhoptera/velata,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
19748,species,arcnew1,,Archbold's Newtonia,Newtonia archboldi,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
19749,species,comnew1,,Common Newtonia,Newtonia brunneicauda,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
19752,species,darnew1,,Dark Newtonia,Newtonia amphichroa,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
19753,issf,darnew2,,Dark Newtonia (amphichroa),Newtonia amphichroa amphichroa,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",darnew1
19754,issf,darnew3,,Dark Newtonia (lavarambo),Newtonia amphichroa lavarambo,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",darnew1
19755,species,retnew1,,Red-tailed Newtonia,Newtonia fanovanae,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
19756,species,tylvan1,,Tylas Vanga,Tylas eduardi,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
19757,issf,tylvan2,,Tylas Vanga (Eduard's),Tylas eduardi eduardi,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",tylvan1
19758,issf,tylvan3,,Tylas Vanga (White-throated),Tylas eduardi albigularis,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",tylvan1
19759,species,retvan1,,Red-tailed Vanga,Calicalicus madagascariensis,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
19760,species,resvan1,,Red-shouldered Vanga,Calicalicus rufocarpalis,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
19761,species,nuthat2,,Nuthatch-Vanga,Hypositta corallirostris,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
19762,species,chavan2,,Chabert Vanga,Leptopterus chabert,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
19763,issf,chavan1,,Chabert Vanga (Chabert),Leptopterus chabert chabert,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",chavan2
19764,issf,chavan3,,Chabert Vanga (White-tailed),Leptopterus chabert schistocercus,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",chavan2
19765,species,crobab1,,Crossley's Vanga,Mystacornis crossleyi,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
19766,species,bluvan2,,Comoro Blue Vanga,Cyanolanius comorensis,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
19769,species,bluvan3,,Madagascar Blue Vanga,Cyanolanius madagascarinus,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
19770,species,hobvan1,,Hook-billed Vanga,Vanga curvirostris,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
19771,issf,hobvan2,,Hook-billed Vanga (Hook-billed),Vanga curvirostris curvirostris,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",hobvan1
19772,issf,hobvan3,,Hook-billed Vanga (Black-crowned),Vanga curvirostris cetera,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",hobvan1
19773,species,warfly1,,Ward's Flycatcher,Pseudobias wardi,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
19774,species,rufvan1,,Rufous Vanga,Schetba rufa,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
19775,issf,rufvan2,,Rufous Vanga (rufa),Schetba rufa rufa,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",rufvan1
19776,issf,rufvan3,,Rufous Vanga (occidentalis),Schetba rufa occidentalis,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",rufvan1
19777,species,helvan1,,Helmet Vanga,Euryceros prevostii,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)","Vangas, Helmetshrikes, and Allies",
