Order,CommonName,SciName,Status
325,Parasitic Jaeger,Stercorarius parasiticus,
326,Long-tailed Jaeger,Stercorarius longicaudus,
327,Dovekie,Alle alle,
328,Common Murre,Uria aalge,
329,Thick-billed Murre,Uria lomvia,
330,Razorbill,Alca torda,Near-threatened
331,Great Auk,Pinguinus impennis,Extinct
332,Black Guillemot,Cepphus grylle,
333,Pigeon Guillemot,Cepphus columba,
334,Long-billed Murrelet,Brachyramphus perdix,Rare/Accidental Near-threatened
335,Marbled Murrelet,Brachyramphus marmoratus,Endangered
336,Kittlitz's Murrelet,Brachyramphus brevirostris,Near-threatened
337,Scripps's Murrelet,Synthliboramphus scrippsi,Vulnerable
338,Guadalupe Murrelet,Synthliboramphus hypoleucus,Rare/Accidental Endangered
339,Craveri's Murrelet,Synthliboramphus craveri,Vulnerable
340,Ancient Murrelet,Synthliboramphus antiquus,
341,Cassin's Auklet,Ptychoramphus aleuticus,Near-threatened
342,Parakeet Auklet,Aethia psittacula,
343,Least Auklet,Aethia pusilla,
344,Whiskered Auklet,Aethia pygmaea,
345,Crested Auklet,Aethia cristatella,
346,Rhinoceros Auklet,Cerorhinca monocerata,
347,Atlantic Puffin,Fratercula arctica,Vulnerable
348,Horned Puffin,Fratercula corniculata,
349,Tufted Puffin,Fratercula cirrhata,
350,Swallow-tailed Gull,Creagrus furcatus,Rare/Accidental
351,Black-legged Kittiwake,Rissa tridactyla,Vulnerable
352,Red-legged Kittiwake,Rissa brevirostris,Vulnerable
353,Ivory Gull,Pagophila eburnea,Near-threatened
354,Sabine's Gull,Xema sabini,
355,Bonaparte's Gull,Chroicocephalus philadelphia,
356,Black-headed Gull,Chroicocephalus ridibundus,
357,Little Gull,Hydrocoloeus minutus,
358,Ross's Gull,Rhodostethia rosea,
359,Laughing Gull,Leucophaeus atricilla,
360,Franklin's Gull,Leucophaeus pipixcan,
361,Belcher's Gull,Larus belcheri,Rare/Accidental
362,Black-tailed Gull,Larus crassirostris,
363,Heermann's Gull,Larus heermanni,Near-threatened
364,Mew Gull,Larus canus,
365,Ring-billed Gull,Larus delawarensis,
366,Western Gull,Larus occidentalis,
367,Yellow-footed Gull,Larus livens,
368,California Gull,Larus californicus,
369,Herring Gull,Larus argentatus,
370,Yellow-legged Gull,Larus michahellis,Rare/Accidental
371,Iceland Gull,Larus glaucoides,
372,Lesser Black-backed Gull,Larus fuscus,
373,Slaty-backed Gull,Larus schistisagus,
374,Glaucous-winged Gull,Larus glaucescens,
375,Glaucous Gull,Larus hyperboreus,
376,Great Black-backed Gull,Larus marinus,
377,Kelp Gull,Larus dominicanus,Rare/Accidental
378,Brown Noddy,Anous stolidus,
